NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('in',)",52068,30673,0.62929,0.37071,2,1
"('and',)",50112,29180,0.63199,0.36801,2,1
"('the',)",45846,23999,0.6564,0.3436,2,1
"('of',)",23055,12011,0.65747,0.34253,2,1
"('to',)",24882,12702,0.66204,0.33796,2,1
"('reports',)",4379,2518,0.63491,0.36509,2,1
"('that',)",15304,8626,0.63953,0.36047,2,1
"('for',)",15043,7834,0.65756,0.34244,2,1
"('some',)",6626,3961,0.62586,0.37414,2,1
"('increases',)",4122,2040,0.66894,0.33106,2,0
"('but',)",5534,3262,0.62915,0.37085,2,1
"('is',)",3322,1881,0.63848,0.36152,2,1
"('prices',)",9564,5081,0.65306,0.34694,2,1
"('a',)",16769,8201,0.67157,0.32843,2,0
"('are',)",5098,3265,0.60959,0.39041,2,1
"('kansas',)",5473,3608,0.60269,0.39731,2,1
"('city',)",5876,3778,0.60866,0.39134,2,1
"('labor',)",2801,2035,0.5792,0.4208,1,1
"('notes',)",563,384,0.59451,0.40549,1,1
"('wage',)",2224,1329,0.62595,0.37405,2,1
"('minneapolis',)",4225,2797,0.60168,0.39832,2,1
"('have',)",4530,2515,0.64301,0.35699,2,1
"('pressures',)",1705,1173,0.59243,0.40757,1,1
"('as',)",6274,3599,0.63547,0.36453,2,1
"('dallas',)",5899,4307,0.57799,0.42201,1,1
"('materials',)",1167,545,0.68166,0.31834,2,0
"('wages',)",1852,1022,0.6444,0.3556,2,1
"('new',)",7840,4540,0.63328,0.36672,2,1
"('most',)",5620,3123,0.6428,0.3572,2,1
"('while',)",4650,2443,0.65558,0.34442,2,1
"('st',)",3762,2533,0.59762,0.40238,1,1
"('louis',)",3736,2511,0.59805,0.40195,1,1
"('san',)",4979,3507,0.58673,0.41327,1,1
"('chicago',)",5785,3420,0.62846,0.37154,2,1
"('districts',)",11448,7580,0.60164,0.39836,2,1
"('with',)",5979,3202,0.65124,0.34876,2,1
"('has',)",2684,1687,0.61405,0.38595,2,1
"('york',)",4562,3187,0.58872,0.41128,1,1
"('francisco',)",4905,3472,0.58553,0.41447,1,1
"('philadelphia',)",3552,2472,0.58964,0.41036,1,1
"('on',)",5443,3310,0.62184,0.37816,2,1
"('price',)",2049,1216,0.62757,0.37243,2,1
"('boston',)",3993,2816,0.58643,0.41357,1,1
"('richmond',)",4574,3201,0.5883,0.4117,1,1
"('raw',)",414,144,0.74194,0.25806,3,0
"('generally',)",2459,1557,0.6123,0.3877,2,1
"('from',)",5183,2627,0.66364,0.33636,2,1
"('not',)",1298,701,0.64932,0.35068,2,1
"('pressure',)",939,545,0.63275,0.36725,2,1
"('more',)",2449,1416,0.63364,0.36636,2,1
"('activity',)",8860,4728,0.65205,0.34795,2,1
"('report',)",4459,2243,0.66532,0.33468,2,1
"('manufacturing',)",3519,1901,0.64926,0.35074,2,1
"('this',)",1687,744,0.69395,0.30605,2,0
"('district',)",9442,5970,0.61264,0.38736,2,1
"('cleveland',)",4559,3235,0.58494,0.41506,1,1
"('markets',)",2619,1810,0.59133,0.40867,1,1
"('firms',)",3673,2272,0.61783,0.38217,2,1
"('strength',)",723,397,0.64554,0.35446,2,1
"('steady',)",2288,1165,0.66261,0.33739,2,1
"('construction',)",5352,2643,0.66942,0.33058,2,0
"('increasing',)",883,531,0.62447,0.37553,2,1
"('workers',)",2412,1573,0.60527,0.39473,2,1
"('strong',)",4593,2759,0.62473,0.37527,2,1
"('upward',)",728,365,0.66606,0.33394,2,1
"('where',)",728,452,0.61695,0.38305,2,1
"('sector',)",2154,1267,0.62964,0.37036,2,1
"('atlanta',)",4592,3332,0.57951,0.42049,1,1
"('by',)",3972,1620,0.7103,0.2897,2,0
"('describes',)",88,116,0.43137,0.56863,1,1
"('goods',)",1247,641,0.66049,0.33951,2,1
"('says',)",192,291,0.39752,0.60248,1,2
"('shortages',)",1041,699,0.59828,0.40172,1,1
"('describe',)",165,118,0.58304,0.41696,1,1
"('increased',)",5132,2633,0.66091,0.33909,2,1
"('been',)",1772,1116,0.61357,0.38643,2,1
"('september',)",449,200,0.69183,0.30817,2,0
"('than',)",2779,1351,0.67288,0.32712,2,0
