NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('underperformed',)",1,4,0.2,0.8,0,4
"('businesstobusiness',)",1,3,0.25,0.75,0,3
"('compensate',)",2,5,0.28571,0.71429,0,3
"('protection',)",2,6,0.25,0.75,0,3
"('preferred',)",2,5,0.28571,0.71429,0,3
"('Syracuse',)",1,3,0.25,0.75,0,3
"('exacerbated',)",1,4,0.2,0.8,0,4
"('restart',)",1,3,0.25,0.75,0,3
"('here',)",1,3,0.25,0.75,0,3
"('fire',)",1,3,0.25,0.75,0,3
"('occurs',)",2,6,0.25,0.75,0,3
"('lastminute',)",1,3,0.25,0.75,0,3
"('warn',)",1,3,0.25,0.75,0,3
"('subside',)",1,3,0.25,0.75,0,3
"('default',)",1,3,0.25,0.75,0,3
"('mined',)",1,3,0.25,0.75,0,3
"('Bowl',)",2,7,0.22222,0.77778,0,4
"('unsustainable',)",1,4,0.2,0.8,0,4
"('macro',)",1,4,0.2,0.8,0,4
"('Slightly',)",1,4,0.2,0.8,0,4
"('sometimes',)",1,3,0.25,0.75,0,3
"('materialize',)",2,5,0.28571,0.71429,0,3
"('handful',)",1,3,0.25,0.75,0,3
"('10year',)",2,6,0.25,0.75,0,3
"('thereby',)",1,3,0.25,0.75,0,3
"('propane',)",1,7,0.125,0.875,0,7
"('withdrawals',)",1,6,0.14286,0.85714,0,6
"('Cushing',)",2,5,0.28571,0.71429,0,3
"('nursery',)",1,3,0.25,0.75,0,3
"('overshadowed',)",1,3,0.25,0.75,0,3
"('OEMs',)",1,4,0.2,0.8,0,4
"('avian',)",4,10,0.28571,0.71429,0,3
"('currency',)",1,3,0.25,0.75,0,3
"('efficiently',)",1,3,0.25,0.75,0,3
