NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('northern', 'New', 'Jersey', 'Westchester')",2,6,0.25,0.75,0,3
"('real', 'estate', 'lending', 'and')",1,5,0.16667,0.83333,0,5
"('bankers', 'reported', 'that', 'they')",1,3,0.25,0.75,0,3
"('in', 'October', 'and', 'November')",3,18,0.14286,0.85714,0,6
"('reported', 'low', 'levels', 'of')",1,3,0.25,0.75,0,3
"('the', 'average', 'check', 'amount')",1,3,0.25,0.75,0,3
"('an', 'uptick', 'in', 'hiring')",1,3,0.25,0.75,0,3
"('sales', 'increased', 'in', 'all')",1,5,0.16667,0.83333,0,5
"('at', 'a', 'subdued', 'pace')",1,3,0.25,0.75,0,3
"('the', 'District', 'noted', 'an')",1,4,0.2,0.8,0,4
"('positive', 'Real', 'Estate', 'and')",1,3,0.25,0.75,0,3
"('at', 'low', 'levels', 'in')",1,3,0.25,0.75,0,3
"('in', 'Louisville', 'Commercial', 'and')",1,3,0.25,0.75,0,3
"('weather', 'across', 'much', 'of')",1,3,0.25,0.75,0,3
"('changed', 'from', 'the', 'previous')",2,5,0.28571,0.71429,0,3
"('and', 'an', 'agent', 'in')",1,3,0.25,0.75,0,3
"('and', 'Dallas', 'all', 'noted')",1,3,0.25,0.75,0,3
"('Consumer', 'spending', 'picked', 'up')",1,4,0.2,0.8,0,4
"('in', 'part', 'to', 'increased')",1,3,0.25,0.75,0,3
"('uncertainty', 'about', 'the', 'outlook')",1,4,0.2,0.8,0,4
"('many', 'of', 'the', 'Districts')",2,7,0.22222,0.77778,0,4
"('for', 'quality', 'loans', 'was')",1,3,0.25,0.75,0,3
"('ore', 'mines', 'in', 'northern')",1,3,0.25,0.75,0,3
"('in', 'northern', 'Minnesota', 'were')",1,3,0.25,0.75,0,3
"('northern', 'Minnesota', 'were', 'operating')",1,3,0.25,0.75,0,3
"('Minnesota', 'were', 'operating', 'at')",1,3,0.25,0.75,0,3
"('up', 'since', 'our', 'last')",1,3,0.25,0.75,0,3
"('elsewhere', 'in', 'the', 'region')",1,4,0.2,0.8,0,4
"('Cleveland', 'Atlanta', 'and', 'San')",2,6,0.25,0.75,0,3
"('Districts', 'reported', 'that', 'manufacturing')",1,3,0.25,0.75,0,3
"('the', 'nearterm', 'outlook', 'and')",1,4,0.2,0.8,0,4
"('in', 'the', 'past', 'several')",1,3,0.25,0.75,0,3
"('the', 'Philadelphia', 'District', 'were')",1,4,0.2,0.8,0,4
"('the', 'Atlanta', 'Kansas', 'City')",1,3,0.25,0.75,0,3
"('the', 'drought', 'in', 'the')",1,3,0.25,0.75,0,3
"('above', 'yearago', 'levels', 'but')",2,5,0.28571,0.71429,0,3
"('In', 'the', 'San', 'Francisco')",1,5,0.16667,0.83333,0,5
"('because', 'of', 'uncertainty', 'about')",1,3,0.25,0.75,0,3
"('relative', 'to', 'the', 'last')",1,3,0.25,0.75,0,3
"('and', 'a', 'scarcity', 'of')",1,3,0.25,0.75,0,3
"('than', 'they', 'have', 'in')",1,3,0.25,0.75,0,3
"('mixed', 'but', 'generally', 'steady')",1,6,0.14286,0.85714,0,6
"('sales', 'growth', 'to', 'continue')",1,3,0.25,0.75,0,3
"('the', 'recent', 'increase', 'in')",1,7,0.125,0.875,0,7
"('of', 'existing', 'homes', 'for')",1,4,0.2,0.8,0,4
"('existing', 'homes', 'for', 'sale')",1,4,0.2,0.8,0,4
"('and', 'real', 'estate', 'firms')",1,3,0.25,0.75,0,3
"('that', 'activity', 'has', 'been')",1,4,0.2,0.8,0,4
"('of', 'new', 'homes', 'have')",1,3,0.25,0.75,0,3
"('they', 'are', 'unable', 'to')",1,3,0.25,0.75,0,3
"('steady', 'or', 'showed', 'a')",1,3,0.25,0.75,0,3
"('most', 'of', 'the', 'increase')",1,3,0.25,0.75,0,3
"('contact', 'stated', 'that', 'the')",1,3,0.25,0.75,0,3
"('at', 'a', 'slightly', 'quicker')",1,3,0.25,0.75,0,3
"('stated', 'that', 'business', 'was')",1,4,0.2,0.8,0,4
"('a', 'marked', 'increase', 'in')",1,3,0.25,0.75,0,3
"('contact', 'noted', 'that', 'a')",1,4,0.2,0.8,0,4
"('District', 'with', 'the', 'exception')",1,4,0.2,0.8,0,4
"('the', 'pace', 'of', 'wage')",2,5,0.28571,0.71429,0,3
"('rising', 'gasoline', 'prices', 'and')",1,3,0.25,0.75,0,3
