NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('raw', 'materials')",358,125,0.7412,0.2588,3,0
"('says', 'that')",130,42,0.75581,0.24419,3,0
"('upward', 'pressure')",396,158,0.7148,0.2852,3,0
"('but', 'notes')",62,18,0.775,0.225,3,0
"('are', 'generally')",170,65,0.7234,0.2766,3,0
"('of', 'upward')",73,9,0.89024,0.10976,8,0
"('manufacturers', 'report')",60,19,0.75949,0.24051,3,0
"('no', 'change')",289,101,0.74103,0.25897,3,0
"('in', 'raw')",67,14,0.82716,0.17284,5,0
"('more', 'reports')",69,1,0.98571,0.01429,69,0
"('of', 'manufacturers')",116,20,0.85294,0.14706,6,0
"('wages', 'for')",109,19,0.85156,0.14844,6,0
"('to', 'this')",49,3,0.94231,0.05769,16,0
"('increasing', 'reports')",46,1,0.97872,0.02128,46,0
"('workers', 'the')",84,3,0.96552,0.03448,28,0
"('to', 'grow')",376,97,0.79493,0.20507,4,0
"('grow', 'in')",92,2,0.97872,0.02128,46,0
"('while', 'philadelphia')",107,37,0.74306,0.25694,3,0
"('in', 'september')",315,29,0.9157,0.0843,11,0
"('end', 'of')",404,145,0.73588,0.26412,3,0
"('and', 'new')",903,359,0.71553,0.28447,3,0
"('of', 'skilled')",171,38,0.81818,0.18182,4,0
"('the', 'northeast')",40,1,0.97561,0.02439,40,0
"('than', 'in')",529,171,0.75571,0.24429,3,0
"('feed', 'costs')",124,26,0.82667,0.17333,5,0
"('the', 'midwest')",96,18,0.84211,0.15789,5,0
"('the', 'harvest')",39,6,0.86667,0.13333,7,0
"('and', 'notes')",43,9,0.82692,0.17308,5,0
"('generally', 'robust')",35,8,0.81395,0.18605,4,0
"('the', 'east')",71,5,0.93421,0.06579,14,0
"('had', 'been')",177,62,0.74059,0.25941,3,0
"('for', 'raw')",82,12,0.87234,0.12766,7,0
"('as', 'moderate')",89,28,0.76068,0.23932,3,0
"('stable', 'to')",144,51,0.73846,0.26154,3,0
"('but', 'with')",64,23,0.73563,0.26437,3,0
"('the', 'southeast')",45,14,0.76271,0.23729,3,0
