NGram,Frequency
"('and',)",243
"('in',)",168
"('that',)",114
"('the',)",90
"('reported',)",87
"('to',)",83
"('noted',)",75
"('of',)",67
"('districts',)",65
"('were',)",57
"('san',)",50
"('francisco',)",47
"('a',)",47
"('sales',)",47
"('as',)",45
"('activity',)",44
"('some',)",42
"('for',)",42
"('new',)",41
"('cleveland',)",41
"('dallas',)",41
"('atlanta',)",40
"('most',)",36
"('markets',)",36
"('philadelphia',)",35
"('chicago',)",35
"('minneapolis',)",35
"('reports',)",35
"('continued',)",33
"('remained',)",33
"('strong',)",30
"('demand',)",30
"('city',)",29
"('may',)",27
"('had',)",27
"('described',)",27
"('york',)",26
"('richmond',)",26
"('st',)",26
"('louis',)",26
"('kansas',)",26
"('several',)",26
"('on',)",25
"('was',)",24
"('mixed',)",24
"('although',)",24
"('according',)",24
"('boston',)",23
"('or',)",21
"('real',)",21
"('estate',)",21
"('services',)",21
"('from',)",20
"('solid',)",18
"('while',)",18
"('cited',)",18
"('high',)",18
"('prices',)",18
"('conditions',)",18
"('costs',)",18
"('tourism',)",18
"('firms',)",18
"('increases',)",18
"('at',)",17
"('manufacturing',)",17
"('pace',)",15
"('weather',)",15
"('commercial',)",15
"('overall',)",15
"('but',)",15
"('also',)",15
"('industry',)",15
"('rising',)",15
"('production',)",15
"('retail',)",14
"('industries',)",14
"('home',)",14
"('expand',)",12
"('expansion',)",12
"('service',)",12
"('positive',)",12
"('residential',)",12
"('transportation',)",12
"('consumer',)",12
"('spending',)",12
"('april',)",12
"('up',)",12
"('by',)",12
"('hotel',)",12
"('higher',)",12
"('slowed',)",12
"('workers',)",12
"('construction',)",11
"('federal',)",9
"('reserve',)",9
"('moderate',)",9
"('however',)",9
"('growth',)",9
"('gasoline',)",9
"('having',)",9
"('negative',)",9
"('impact',)",9
"('improving',)",9
"('price',)",9
"('fuel',)",9
"('materials',)",9
"('gains',)",9
"('said',)",9
"('concerns',)",9
"('about',)",9
"('than',)",9
"('year',)",9
"('rates',)",9
"('earlier',)",9
"('capital',)",9
"('because',)",9
"('improvements',)",9
"('local',)",9
"('has',)",9
"('increased',)",9
"('modest',)",9
"('goods',)",9
"('energy',)",9
"('drilling',)",9
"('other',)",8
"('2005',)",7
"('labor',)",7
"('full',)",6
"('all',)",6
"('across',)",6
"('unseasonable',)",6
"('few',)",6
"('quite',)",6
"('varying',)",6
"('pressures',)",6
"('concern',)",6
"('over',)",6
"('edged',)",6
"('down',)",6
"('district',)",6
"('vehicle',)",6
"('inventories',)",6
"('levels',)",6
"('leasing',)",6
"('sector',)",6
"('strengthened',)",6
"('healthcare',)",6
"('hospitality',)",6
"('room',)",6
"('somewhat',)",6
"('stronger',)",6
"('months',)",6
"('supply',)",6
"('indicated',)",6
"('saw',)",6
"('with',)",6
"('development',)",6
"('steady',)",6
"('improve',)",6
"('contracts',)",6
"('manufacturers',)",6
"('increase',)",6
"('expected',)",6
"('input',)",6
"('especially',)",6
"('banking',)",6
"('reporting',)",6
"('financial',)",6
"('lending',)",6
"('difficulty',)",6
"('skilled',)",6
"('along',)",6
"('producers',)",6
"('crop',)",6
"('june',)",5
"('is',)",5
"('officials',)",5
"('good',)",5
"('wages',)",5
"('return',)",4
"('top',)",4
"('15',)",3
"('summary',)",3
"('report',)",3
"('twelve',)",3
"('indicate',)",3
"('business',)",3
"('midapril',)",3
"('through',)",3
"('districtsincluding',)",3
"('minnesota',)",3
"('franciscocharacterized',)",3
"('wellsustained',)",3
"('eased',)",3
"('observed',)",3
"('unevenness',)",3
"('disappointing',)",3
"('results',)",3
"('principal',)",3
"('reason',)",3
"('mentioned',)",3
"('almost',)",3
"('improved',)",3
"('building',)",3
"('store',)",3
"('traffic',)",3
"('picked',)",3
"('markedly',)",3
"('expanded',)",3
"('solidly',)",3
"('characterized',)",3
"('merchants',)",3
"('retailers',)",3
"('subdued',)",3
"('those',)",3
"('soft',)",3
"('dampened',)",3
"('addition',)",3
"('sluggish',)",3
"('meanwhile',)",3
"('above',)",3
"('desired',)",3
"('dealers',)",3
"('area',)",3
"('boosted',)",3
"('promotions',)",3
"('lower',)",3
"('excess',)",3
"('suvs',)",3
"('light',)",3
"('trucks',)",3
"('display',)",3
"('experience',)",3
"('media',)",3
"('hightech',)",3
"('among',)",3
"('food',)",3
"('providers',)",3
"('vigorous',)",3
"('exceptionally',)",3
"('manhattans',)",3
"('occupancy',)",3
"('rate',)",3
"('more',)",3
"('2',)",3
"('percentage',)",3
"('points',)",3
"('ago',)",3
"('average',)",3
"('17',)",3
"('percent',)",3
"('bookings',)",3
"('coastal',)",3
"('hotels',)",3
"('memorial',)",3
"('day',)",3
"('weekend',)",3
"('rapidly',)",3
"('rooms',)",3
"('nations',)",3
"('drove',)",3
"('sharply',)",3
"('recent',)",3
"('resort',)",3
"('occupancies',)",3
"('employment',)",3
"('travel',)",3
"('surge',)",3
"('spring',)",3
"('flat',)",3
"('cool',)",3
"('optimistic',)",3
"('summer',)",3
"('slowing',)",3
"('brisk',)",3
"('respectively',)",3
"('rise',)",3
"('stated',)",3
"('be',)",3
"('rapid',)",3
"('relative',)",3
"('previous',)",3
"('periods',)",3
"('housing',)",3
"('both',)",3
"('easing',)",3
"('highend',)",3
"('weakened',)",3
"('slightly',)",3
"('parts',)",3
"('homes',)",3
"('outstripped',)",3
"('permit',)",3
"('data',)",3
"('moderation',)",3
"('signs',)",3
"('strengthening',)",3
"('office',)",3
"('vacancy',)",3
"('retreating',)",3
"('been',)",3
"('fairly',)",3
"('rents',)",3
"('firmed',)",3
"('moved',)",3
"('forward',)",3
"('plans',)",3
"('leveled',)",3
"('off',)",3
"('defense',)",3
"('generated',)",3
"('orders',)",3
"('aircraftrelated',)",3
"('computing',)",3
"('equipment',)",3
"('durable',)",3
"('steel',)",3
"('softer',)",3
"('reportedly',)",3
"('degrees',)",3
"('weakness',)",3
"('yearoveryear',)",3
"('auto',)",3
"('twomonth',)",3
"('period',)",3
"('ending',)",3
"('are',)",3
"('planning',)",3
"('open',)",3
"('plants',)",3
"('operations',)",3
"('meet',)",3
"('majority',)",3
"('manufacturer',)",3
"('regarding',)",3
"('energyrelated',)",3
"('finance',)",3
"('loans',)",3
"('either',)",3
"('slower',)",3
"('areas',)",3
"('linked',)",3
"('borrowing',)",3
"('expenditures',)",3
"('wide',)",3
"('range',)",3
"('loan',)",3
"('slowdown',)",3
"('remaining',)",3
"('potential',)",3
"('glut',)",3
"('multifamily',)",3
"('properties',)",3
"('indicators',)",3
"('holding',)",3
"('credit',)",3
"('quality',)",3
"('market',)",3
"('finding',)",3
"('specific',)",3
"('types',)",3
"('instance',)",3
"('shortage',)",3
"('similar',)",3
"('shortages',)",3
"('obtaining',)",3
"('qualified',)",3
"('applicants',)",3
"('job',)",3
"('openings',)",3
"('tighter',)",3
"('nursing',)",3
"('professions',)",3
"('temporary',)",3
"('small',)",3
"('decline',)",3
"('mainly',)",3
"('professional',)",3
"('only',)",3
"('level',)",3
"('inflation',)",3
"('final',)",3
"('largely',)",3
"('passthrough',)",3
"('constructionrelated',)",3
"('such',)",3
"('lumber',)",3
"('cement',)",3
"('brick',)",3
"('tile',)",3
"('glass',)",3
"('many',)",3
"('unable',)",3
"('pass',)",3
"('raw',)",3
"('presence',)",3
"('longterm',)",3
"('competitive',)",3
"('foreign',)",3
"('have',)",3
"('success',)",3
"('passing',)",3
"('cost',)",3
"('their',)",3
"('natural',)",3
"('resources',)",3
"('despite',)",3
"('lessthanideal',)",3
