NGram,Frequency
"('the',)",546
"('in',)",542
"('and',)",529
"('to',)",353
"('of',)",278
"('a',)",248
"('that',)",160
"('were',)",154
"('reported',)",147
"('for',)",140
"('sales',)",126
"('activity',)",122
"('prices',)",120
"('continued',)",117
"('contacts',)",115
"('was',)",102
"('at',)",96
"('increased',)",89
"('with',)",86
"('remained',)",79
"('District',)",77
"('but',)",69
"('construction',)",69
"('slightly',)",68
"('demand',)",67
"('pace',)",66
"('up',)",65
"('growth',)",63
"('noted',)",63
"('have',)",62
"('from',)",60
"('report',)",58
"('since',)",56
"('while',)",54
"('year',)",54
"('firms',)",52
"('moderate',)",51
"('period',)",51
"('modestly',)",50
"('estate',)",49
"('January',)",48
"('as',)",48
"('increase',)",48
"('levels',)",48
"('sector',)",47
"('than',)",47
"('real',)",46
"('on',)",46
"('previous',)",46
"('strong',)",46
"('higher',)",45
"('modest',)",44
"('about',)",44
"('conditions',)",44
"('some',)",43
"('A',)",43
"('increases',)",42
"('new',)",42
"('services',)",42
"('steady',)",41
"('rates',)",41
"('an',)",40
"('2017',)",40
"('business',)",40
"('expected',)",40
"('indicated',)",39
"('more',)",39
"('months',)",39
"('over',)",39
"('last',)",38
"('most',)",38
"('has',)",36
"('commercial',)",36
"('The',)",35
"('reporting',)",35
"('manufacturing',)",35
"('percent',)",35
"('rose',)",33
"('Contacts',)",32
"('are',)",32
"('across',)",31
"('moderately',)",31
"('sectors',)",31
"('grew',)",29
"('labor',)",29
"('Economic',)",28
"('be',)",28
"('market',)",28
"('industry',)",28
"('early',)",27
"('said',)",27
"('mixed',)",27
"('they',)",27
"('been',)",27
"('markets',)",26
"('or',)",26
"('their',)",26
"('picked',)",26
"('retail',)",26
"('production',)",26
"('during',)",25
"('loan',)",25
"('Activity',)",24
"('In',)",24
"('wages',)",24
"('lower',)",24
"('wage',)",23
"('New',)",23
"('low',)",22
"('prior',)",22
"('flat',)",22
"('overall',)",22
"('generally',)",21
"('by',)",21
"('next',)",21
"('all',)",20
"('spending',)",20
"('little',)",20
"('this',)",20
"('there',)",20
"('input',)",20
"('recent',)",20
"('rise',)",20
"('February',)",20
"('auto',)",20
"('improved',)",20
"('expectations',)",20
"('2016',)",20
"('contact',)",20
"('costs',)",20
"('price',)",20
"('compared',)",20
"('Overall',)",19
"('optimistic',)",19
"('one',)",19
"('also',)",19
"('had',)",19
"('consumer',)",19
"('further',)",19
"('somewhat',)",18
"('outlook',)",18
"('weeks',)",18
"('However',)",18
"('is',)",18
"('six',)",18
"('large',)",18
"('Manufacturing',)",17
"('residential',)",17
"('pickup',)",17
"('balance',)",17
"('rising',)",17
"('Manufacturers',)",17
"('orders',)",17
"('quarter',)",17
"('home',)",17
"('expand',)",16
"('few',)",16
"('yearoveryear',)",16
"('York',)",16
"('hiring',)",16
"('manufacturers',)",16
"('employment',)",16
"('slight',)",16
"('expect',)",16
"('gas',)",16
"('expanded',)",15
"('number',)",15
"('Home',)",15
"('tight',)",15
"('though',)",15
"('uncertainty',)",15
"('high',)",15
"('although',)",15
"('slowed',)",15
"('unchanged',)",15
"('earlier',)",15
"('supply',)",15
"('One',)",15
"('On',)",15
"('survey',)",15
"('Reports',)",14
"('Districts',)",14
"('energy',)",14
"('Wages',)",14
"('Employment',)",14
"('pressures',)",14
"('economic',)",14
"('which',)",14
"('industrial',)",14
"('Residential',)",14
"('inventory',)",14
"('information',)",14
"('will',)",14
"('ago',)",14
"('major',)",14
"('loans',)",14
"('retailers',)",14
"('oil',)",14
"('Services',)",13
"('Retail',)",13
"('transportation',)",13
"('Commercial',)",13
"('leasing',)",13
"('hospitality',)",13
"('Most',)",13
"('respondents',)",13
"('changes',)",13
"('decline',)",13
"('among',)",13
"('gains',)",13
"('ahead',)",13
"('office',)",13
"('level',)",13
"('products',)",13
"('average',)",13
"('many',)",13
"('Estate',)",13
"('seasonal',)",13
"('credit',)",13
"('mostly',)",12
"('inventories',)",12
"('general',)",12
"('expressed',)",12
"('policy',)",12
"('positive',)",12
"('Demand',)",12
"('dealers',)",12
"('saw',)",12
"('change',)",12
"('no',)",12
"('down',)",12
"('would',)",12
"('coming',)",12
"('remain',)",12
"('improvement',)",12
"('continue',)",12
"('agricultural',)",12
"('reports',)",11
"('farm',)",11
"('businesses',)",11
"('cited',)",11
"('other',)",11
"('first',)",11
"('significant',)",11
"('area',)",11
"('those',)",11
"('firm',)",11
"('remains',)",11
"('Construction',)",11
"('builders',)",11
"('through',)",10
"('Tourism',)",10
"('stronger',)",10
"('homes',)",10
"('shortages',)",10
"('two',)",10
"('staffing',)",10
"('time',)",10
"('workers',)",10
"('concern',)",10
"('years',)",10
"('pressure',)",10
"('tax',)",10
"('December',)",10
"('our',)",10
"('due',)",10
"('bankers',)",10
"('much',)",10
"('relatively',)",10
"('stable',)",9
"('it',)",9
"('changed',)",9
"('skilled',)",9
"('leisure',)",9
"('selling',)",9
"('both',)",9
"('declines',)",9
"('after',)",9
"('confidence',)",9
"('Beige',)",9
"('Book',)",9
"('shipments',)",9
"('capacity',)",9
"('particularly',)",9
"('multifamily',)",9
"('City',)",9
"('anticipated',)",9
"('future',)",9
"('goods',)",9
"('not',)",9
"('Boston',)",9
"('healthcare',)",9
"('its',)",9
"('same',)",9
"('Real',)",9
"('interest',)",9
"('projects',)",9
"('visit',)",9
"('service',)",9
"('trade',)",9
"('Spending',)",9
"('edged',)",9
"('declined',)",9
"('categories',)",9
"('received',)",9
"('because',)",9
"('natural',)",9
"('quality',)",9
"('majority',)",9
"('MinneapolisSt',)",9
"('Paul',)",9
"('ongoing',)",8
"('existing',)",8
"('materials',)",8
"('strengthened',)",8
"('end',)",8
"('several',)",8
"('even',)",8
"('greater',)",8
"('volumes',)",8
"('North',)",8
"('Dakota',)",8
"('agriculture',)",8
"('signs',)",8
"('region',)",8
"('good',)",8
"('increasing',)",8
"('rate',)",8
"('optimism',)",8
"('robust',)",8
"('vacancy',)",8
"('especially',)",8
"('singlefamily',)",8
"('decreased',)",8
"('small',)",8
"('areas',)",8
"('around',)",8
"('Respondents',)",8
"('current',)",8
"('capital',)",8
"('yearago',)",8
"('above',)",8
"('Minnesota',)",8
"('financial',)",7
"('Finance',)",7
"('Consumer',)",7
"('subdued',)",7
"('Auto',)",7
"('three',)",7
