NGram,Frequency
"('more', 'information', 'about', 'District', 'economic')",10
"('information', 'about', 'District', 'economic', 'conditions')",10
"('about', 'District', 'economic', 'conditions', 'visit')",10
"('since', 'the', 'previous', 'survey', 'period')",10
"('slightly', 'since', 'the', 'previous', 'report')",6
"('the', 'previous', 'survey', 'period', 'and')",6
"('compared', 'to', 'the', 'previous', 'survey')",6
"('to', 'the', 'previous', 'survey', 'period')",6
"('in', 'the', 'latest', 'reporting', 'period')",5
"('of', 'Economic', 'Activity', 'Economic', 'activity')",5
"('Economic', 'Activity', 'Economic', 'activity', 'in')",5
"('Activity', 'Economic', 'activity', 'in', 'the')",5
"('in', 'late', 'November', 'and', 'December')",5
"('compared', 'with', 'a', 'year', 'earlier')",5
"('real', 'estate', 'activity', 'was', 'little')",4
"('estate', 'activity', 'was', 'little', 'changed')",4
"('were', 'strongly', 'above', 'yearago', 'levels')",4
"('continued', 'to', 'expand', 'at', 'a')",4
"('over', 'the', 'next', 'six', 'months')",4
"('continued', 'at', 'a', 'modest', 'pace')",4
"('over', 'the', 'next', '6', 'to')",4
"('the', 'next', '6', 'to', '12')",4
"('next', '6', 'to', '12', 'months')",4
"('in', 'the', 'nonfinancial', 'services', 'sector')",3
"('remained', 'tight', 'and', 'wage', 'growth')",3
"('a', 'modest', 'pace', 'of', 'growth')",3
"('increased', 'at', 'a', 'moderate', 'pace')",3
"('reported', 'a', 'decline', 'in', 'shipments')",3
"('a', 'decline', 'in', 'shipments', 'and')",3
"('and', 'real', 'estate', 'activity', 'was')",3
"('wholesale', 'trade', 'and', 'professional', 'and')",3
"('trade', 'and', 'professional', 'and', 'hightech')",3
"('Sales', 'of', 'retail', 'goods', 'expanded')",3
"('of', 'retail', 'goods', 'expanded', 'moderately')",3
"('Conditions', 'in', 'the', 'manufacturing', 'sector')",3
"('in', 'the', 'manufacturing', 'sector', 'strengthened')",3
"('the', 'manufacturing', 'sector', 'strengthened', 'modestly')",3
"('and', 'Wages', 'Employment', 'growth', 'continued')",3
"('Since', 'our', 'previous', 'Beige', 'Book')",3
"('pace', 'over', 'the', 'reporting', 'period')",3
"('at', 'a', 'modest', 'pace', 'in')",3
"('over', 'the', 'reporting', 'period', 'and')",3
"('improved', 'slightly', 'since', 'the', 'previous')",3
"('reported', 'a', 'slight', 'increase', 'in')",3
"('the', 'Minneapolis', 'Feds', 'annual', 'manufacturing')",3
"('Minneapolis', 'Feds', 'annual', 'manufacturing', 'survey')",3
"('slightly', 'since', 'the', 'previous', 'survey')",3
"('contact', 'in', 'the', 'Pacific', 'Northwest')",3
"('in', 'the', 'Pacific', 'Northwest', 'observed')",3
"('increased', 'in', 'most', 'of', 'the')",2
"('Commercial', 'real', 'estate', 'activity', 'was')",2
"('Districts', 'reported', 'modest', 'to', 'moderate')",2
"('though', 'a', 'few', 'Districts', 'noted')",2
"('a', 'few', 'Districts', 'noted', 'that')",2
"('few', 'Districts', 'noted', 'that', 'growth')",2
"('expanded', 'at', 'a', 'slower', 'pace')",2
"('to', 'attract', 'and', 'retain', 'workers')",2
"('modest', 'to', 'moderate', 'increases', 'in')",2
"('leveled', 'off', 'in', 'the', 'latest')",2
"('off', 'in', 'the', 'latest', 'reporting')",2
"('Holiday', 'season', 'sales', 'were', 'a')",2
"('season', 'sales', 'were', 'a', 'bit')",2
"('sales', 'were', 'a', 'bit', 'on')",2
"('were', 'a', 'bit', 'on', 'the')",2
"('a', 'bit', 'on', 'the', 'sluggish')",2
"('bit', 'on', 'the', 'sluggish', 'side')",2
"('on', 'the', 'sluggish', 'side', 'but')",2
"('the', 'sluggish', 'side', 'but', 'still')",2
"('sluggish', 'side', 'but', 'still', 'up')",2
"('side', 'but', 'still', 'up', 'from')",2
"('but', 'still', 'up', 'from', 'a')",2
"('still', 'up', 'from', 'a', 'year')",2
"('up', 'from', 'a', 'year', 'ago')",2
"('maintained', 'a', 'modest', 'pace', 'of')",2
"('slowing', 'occurred', 'among', 'service', 'sectors')",2
"('occurred', 'among', 'service', 'sectors', 'and')",2
"('among', 'service', 'sectors', 'and', 'some')",2
"('service', 'sectors', 'and', 'some', 'real')",2
"('sectors', 'and', 'some', 'real', 'estate')",2
"('and', 'some', 'real', 'estate', 'activity')",2
"('some', 'real', 'estate', 'activity', 'declined')",2
"('Economic', 'activity', 'in', 'the', 'Fourth')",2
"('activity', 'in', 'the', 'Fourth', 'District')",2
"('in', 'the', 'Fourth', 'District', 'increased')",2
"('the', 'Fourth', 'District', 'increased', 'slightly')",2
"('costs', 'and', 'selling', 'prices', 'continued')",2
"('construction', 'continued', 'to', 'be', 'strong')",2
"('continued', 'to', 'be', 'strong', 'and')",2
"('economy', 'expanded', 'at', 'a', 'modest')",2
"('expanded', 'at', 'a', 'modest', 'rate')",2
"('on', 'balance', 'in', 'recent', 'weeks')",2
"('input', 'costs', 'due', 'to', 'tariffs')",2
"('labor', 'market', 'remained', 'tight', 'and')",2
"('grew', 'at', 'a', 'modest', 'pace')",2
"('Employment', 'consumer', 'spending', 'and', 'business')",2
"('consumer', 'spending', 'and', 'business', 'spending')",2
"('spending', 'and', 'business', 'spending', 'increased')",2
"('and', 'business', 'spending', 'increased', 'modestly')",2
"('business', 'spending', 'increased', 'modestly', 'manufacturing')",2
"('spending', 'increased', 'modestly', 'manufacturing', 'increased')",2
"('increased', 'modestly', 'manufacturing', 'increased', 'slightly')",2
"('modestly', 'manufacturing', 'increased', 'slightly', 'and')",2
"('manufacturing', 'increased', 'slightly', 'and', 'construction')",2
"('increased', 'slightly', 'and', 'construction', 'and')",2
"('slightly', 'and', 'construction', 'and', 'real')",2
"('and', 'construction', 'and', 'real', 'estate')",2
"('construction', 'and', 'real', 'estate', 'activity')",2
"('activity', 'was', 'little', 'changed', 'Wages')",2
"('was', 'little', 'changed', 'Wages', 'and')",2
"('little', 'changed', 'Wages', 'and', 'prices')",2
"('changed', 'Wages', 'and', 'prices', 'rose')",2
"('Wages', 'and', 'prices', 'rose', 'modestly')",2
"('and', 'prices', 'rose', 'modestly', 'and')",2
"('prices', 'rose', 'modestly', 'and', 'financial')",2
"('rose', 'modestly', 'and', 'financial', 'conditions')",2
"('modestly', 'and', 'financial', 'conditions', 'deteriorated')",2
"('and', 'financial', 'conditions', 'deteriorated', 'slightly')",2
"('financial', 'conditions', 'deteriorated', 'slightly', 'Prospects')",2
"('conditions', 'deteriorated', 'slightly', 'Prospects', 'for')",2
"('deteriorated', 'slightly', 'Prospects', 'for', 'farm')",2
"('slightly', 'Prospects', 'for', 'farm', 'income')",2
"('Prospects', 'for', 'farm', 'income', 'improved')",2
"('for', 'farm', 'income', 'improved', 'as')",2
"('farm', 'income', 'improved', 'as', 'corn')",2
