NGram,Frequency
"('in',)",264
"('and',)",261
"('the',)",147
"('that',)",141
"('to',)",119
"('reported',)",111
"('districts',)",104
"('of',)",91
"('noted',)",84
"('for',)",84
"('were',)",78
"('sales',)",66
"('activity',)",63
"('dallas',)",62
"('a',)",62
"('atlanta',)",58
"('new',)",56
"('san',)",56
"('francisco',)",56
"('kansas',)",53
"('city',)",53
"('most',)",51
"('richmond',)",50
"('some',)",48
"('was',)",48
"('demand',)",45
"('chicago',)",44
"('boston',)",41
"('remained',)",39
"('markets',)",39
"('minneapolis',)",38
"('reports',)",36
"('but',)",36
"('as',)",36
"('said',)",36
"('while',)",33
"('york',)",32
"('cleveland',)",32
"('district',)",30
"('with',)",30
"('generally',)",30
"('st',)",29
"('louis',)",29
"('from',)",29
"('on',)",28
"('growth',)",27
"('mixed',)",27
"('improved',)",27
"('indicated',)",27
"('conditions',)",27
"('are',)",27
"('higher',)",27
"('philadelphia',)",26
"('continued',)",24
"('prices',)",24
"('services',)",24
"('increases',)",24
"('strong',)",24
"('several',)",24
"('also',)",24
"('by',)",24
"('firms',)",24
"('at',)",23
"('all',)",21
"('up',)",21
"('manufacturers',)",21
"('incentives',)",21
"('loan',)",21
"('levels',)",21
"('areas',)",21
"('increased',)",21
"('construction',)",21
"('overall',)",18
"('factory',)",18
"('real',)",18
"('estate',)",18
"('weak',)",18
"('labor',)",18
"('after',)",18
"('workers',)",18
"('retailers',)",18
"('expected',)",18
"('year',)",18
"('november',)",17
"('although',)",15
"('health',)",15
"('costs',)",15
"('spending',)",15
"('results',)",15
"('tourism',)",15
"('employment',)",15
"('residential',)",15
"('weather',)",15
"('recent',)",15
"('or',)",15
"('more',)",15
"('months',)",15
"('industry',)",15
"('according',)",15
"('there',)",15
"('however',)",15
"('other',)",14
"('early',)",12
"('industries',)",12
"('stable',)",12
"('about',)",12
"('rising',)",12
"('retail',)",12
"('expectations',)",12
"('holiday',)",12
"('positive',)",12
"('sector',)",12
"('manufacturing',)",12
"('almost',)",12
"('banking',)",12
"('subdued',)",12
"('increase',)",12
"('layoffs',)",12
"('many',)",12
"('seasonal',)",12
"('across',)",12
"('have',)",12
"('capacity',)",12
"('products',)",12
"('equipment',)",12
"('little',)",12
"('lending',)",12
"('insurance',)",12
"('is',)",11
"('last',)",11
"('report',)",9
"('october',)",9
"('improvements',)",9
"('be',)",9
"('wages',)",9
"('fairly',)",9
"('concerns',)",9
"('service',)",9
"('characterized',)",9
"('commercial',)",9
"('investment',)",9
"('agricultural',)",9
"('good',)",9
"('weakness',)",9
"('expect',)",9
"('hiring',)",9
"('reportedly',)",9
"('pickup',)",9
"('boost',)",9
"('coming',)",9
"('business',)",9
"('international',)",9
"('still',)",9
"('rates',)",9
"('sectors',)",9
"('steady',)",9
"('transportation',)",9
"('production',)",9
"('permanent',)",9
"('capital',)",9
"('housing',)",9
"('market',)",9
"('small',)",9
"('next',)",9
"('favorable',)",9
"('based',)",8
"('2003',)",7
"('federal',)",6
"('reserve',)",6
"('banks',)",6
"('pace',)",6
"('somewhat',)",6
"('noting',)",6
"('number',)",6
"('virtually',)",6
"('majority',)",6
"('auto',)",6
"('travel',)",6
"('did',)",6
"('few',)",6
"('energyrelated',)",6
"('stabilized',)",6
"('an',)",6
"('slowing',)",6
"('stronger',)",6
"('temporary',)",6
"('warm',)",6
"('described',)",6
"('solid',)",6
"('well',)",6
"('soft',)",6
"('stated',)",6
"('apparel',)",6
"('inventories',)",6
"('optimistic',)",6
"('hire',)",6
"('numbers',)",6
"('might',)",6
"('into',)",6
"('because',)",6
"('despite',)",6
"('cars',)",6
"('than',)",6
"('models',)",6
"('domestic',)",6
"('hotels',)",6
"('traffic',)",6
"('central',)",6
"('software',)",6
"('outlook',)",6
"('it',)",6
"('moved',)",6
"('professional',)",6
"('securities',)",6
"('reporting',)",6
"('orders',)",6
"('building',)",6
"('materials',)",6
"('steel',)",6
"('producers',)",6
"('signs',)",6
"('flat',)",6
"('changed',)",6
"('plans',)",6
"('accounts',)",6
"('leasing',)",6
"('industrial',)",6
"('slowly',)",6
"('their',)",6
"('large',)",6
"('mortgage',)",6
"('unchanged',)",6
"('low',)",6
"('deposit',)",6
"('rise',)",6
"('natural',)",6
"('ranchers',)",6
"('dry',)",6
"('mostly',)",6
"('mining',)",6
"('energy',)",6
"('slack',)",6
"('employees',)",6
"('price',)",6
"('regulations',)",6
"('before',)",5
"('received',)",5
"('not',)",5
"('home',)",5
"('return',)",4
"('top',)",4
"('26',)",3
"('summary',)",3
"('full',)",3
"('suggest',)",3
"('economy',)",3
"('expand',)",3
"('descriptions',)",3
"('varied',)",3
"('appeared',)",3
"('reasonably',)",3
"('broadly',)",3
"('finished',)",3
"('goods',)",3
"('input',)",3
"('care',)",3
"('yearoveryear',)",3
"('basis',)",3
"('closely',)",3
"('linked',)",3
"('picked',)",3
"('gains',)",3
"('extended',)",3
"('period',)",3
"('consumer',)",3
"('attributed',)",3
"('unseasonably',)",3
"('parts',)",3
"('country',)",3
"('exceeded',)",3
"('yearago',)",3
"('uneven',)",3
"('put',)",3
"('damper',)",3
"('particularly',)",3
"('discounting',)",3
"('positioned',)",3
"('keeping',)",3
"('stocks',)",3
"('lean',)",3
"('discussions',)",3
"('holidays',)",3
"('match',)",3
"('exceed',)",3
"('years',)",3
"('similar',)",3
"('whereas',)",3
"('plan',)",3
"('removal',)",3
"('generous',)",3
"('drove',)",3
"('down',)",3
"('shifted',)",3
"('summer',)",3
"('fall',)",3
"('weakened',)",3
"('contrast',)",3
"('relatively',)",3
"('sharp',)",3
"('drop',)",3
"('similarly',)",3
"('tied',)",3
"('aggressive',)",3
"('manufacturer',)",3
"('used',)",3
"('imported',)",3
"('roll',)",3
"('out',)",3
"('incentive',)",3
"('programs',)",3
"('hospitality',)",3
"('moderately',)",3
"('snows',)",3
"('cold',)",3
"('ski',)",3
"('pushed',)",3
"('occupancy',)",3
"('manhattan',)",3
"('noticeably',)",3
"('ago',)",3
"('coastal',)",3
"('recovering',)",3
"('damage',)",3
"('caused',)",3
"('hurricane',)",3
"('isabel',)",3
"('mountain',)",3
"('booked',)",3
"('thanksgiving',)",3
"('amusement',)",3
"('parks',)",3
"('tourist',)",3
"('attractions',)",3
"('florida',)",3
"('deals',)",3
"('discounts',)",3
"('south',)",3
"('floridas',)",3
"('cruise',)",3
"('advance',)",3
"('bookings',)",3
"('resorts',)",3
"('encouraging',)",3
"('visitors',)",3
"('hawaii',)",3
"('weaker',)",3
"('dollar',)",3
"('cautious',)",3
"('scientific',)",3
"('technical',)",3
"('environmental',)",3
"('such',)",3
"('accounting',)",3
"('legal',)",3
"('contraction',)",3
"('healthcare',)",3
"('general',)",3
"('freight',)",3
"('main',)",3
"('contributor',)",3
"('land',)",3
"('expansion',)",3
"('broad',)",3
"('shipments',)",3
"('medium',)",3
"('heavyduty',)",3
"('truck',)",3
"('among',)",3
"('various',)",3
"('hightech',)",3
"('suppliers',)",3
"('automakers',)",3
"('nondurable',)",3
"('if',)",3
"('any',)",3
"('spare',)",3
"('utilization',)",3
"('showed',)",3
"('improvement',)",3
"('plant',)",3
"('closings',)",3
"('less',)",3
"('positively',)",3
"('continuing',)",3
"('overcapacity',)",3
"('petrochemical',)",3
"('textile',)",3
"('paper',)",3
"('adversely',)",3
"('affected',)",3
"('hold',)",3
"('staffing',)",3
"('productivity',)",3
"('outsourcing',)",3
"('slow',)",3
"('job',)",3
"('modest',)",3
"('mainly',)",3
"('repair',)",3
"('maintenance',)",3
"('existing',)",3
"('show',)",3
"('strength',)",3
"('maintained',)",3
"('brisk',)",3
"('easing',)",3
"('weeks',)",3
"('relayed',)",3
