NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('in',)",33284,73178,0.31264,0.68736,0,2
"('and',)",31588,70517,0.30937,0.69063,0,2
"('the',)",29763,61433,0.32636,0.67364,0,2
"('of',)",15155,30080,0.33503,0.66497,1,2
"('to',)",16648,31521,0.34562,0.65438,1,2
"('reports',)",2953,6231,0.32154,0.67846,0,2
"('that',)",9317,20952,0.30781,0.69219,0,2
"('for',)",9610,19369,0.33162,0.66838,0,2
"('some',)",4686,9219,0.337,0.663,1,2
"('increases',)",2881,5442,0.34615,0.65385,1,2
"('but',)",3771,7642,0.33041,0.66959,0,2
"('is',)",2347,4148,0.36135,0.63865,1,2
"('prices',)",6229,12881,0.32595,0.67405,0,2
"('a',)",11079,20891,0.34654,0.65346,1,2
"('are',)",3518,7251,0.32668,0.67332,0,2
"('kansas',)",2933,8964,0.24653,0.75347,0,3
"('city',)",3196,9447,0.25279,0.74721,0,3
"('labor',)",2205,4019,0.35427,0.64573,1,2
"('notes',)",496,793,0.38479,0.61521,1,2
"('wage',)",1823,2756,0.39812,0.60188,1,2
"('minneapolis',)",2420,6709,0.26509,0.73491,0,3
"('have',)",3140,6444,0.32763,0.67237,0,2
"('pressures',)",1366,2276,0.37507,0.62493,1,2
"('as',)",4297,8638,0.3322,0.6678,0,2
"('dallas',)",3321,9906,0.25108,0.74892,0,3
"('materials',)",871,1489,0.36907,0.63093,1,2
"('wages',)",1343,2415,0.35737,0.64263,1,2
"('new',)",4698,11129,0.29683,0.70317,0,2
"('most',)",3723,7397,0.3348,0.6652,1,2
"('while',)",2953,5961,0.33128,0.66872,0,2
"('st',)",2196,6013,0.26751,0.73249,0,3
"('louis',)",2191,5973,0.26837,0.73163,0,3
"('san',)",2504,8302,0.23172,0.76828,0,3
"('chicago',)",3170,8644,0.26833,0.73167,0,3
"('districts',)",6874,18898,0.26672,0.73328,0,3
"('with',)",4044,7831,0.34055,0.65945,1,2
"('has',)",2010,3707,0.35158,0.64842,1,2
