NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('seaboard',)",7,18,0.28,0.72,0,3
"('generalized',)",15,42,0.26316,0.73684,0,3
"('fuels',)",9,27,0.25,0.75,0,3
"('whose',)",15,56,0.21127,0.78873,0,4
"('stepped',)",12,45,0.21053,0.78947,0,4
"('escalating',)",11,99,0.1,0.9,0,9
"('districtwide',)",5,24,0.17241,0.82759,0,5
"('plentiful',)",7,19,0.26923,0.73077,0,3
"('potato',)",6,42,0.125,0.875,0,7
"('beets',)",2,17,0.10526,0.89474,0,9
"('drops',)",30,87,0.25641,0.74359,0,3
"('disruption',)",5,23,0.17857,0.82143,0,5
"('skiers',)",3,9,0.25,0.75,0,3
"('ship',)",14,37,0.27451,0.72549,0,3
"('c',)",2,44,0.04348,0.95652,0,22
"('i',)",9,51,0.15,0.85,0,6
"('affect',)",39,110,0.26174,0.73826,0,3
"('weight',)",5,20,0.2,0.8,0,4
"('worst',)",10,42,0.19231,0.80769,0,4
"('decades',)",1,19,0.05,0.95,0,19
"('snowpack',)",5,20,0.2,0.8,0,4
"('deaths',)",1,19,0.05,0.95,0,19
"('rule',)",4,21,0.16,0.84,0,5
"('wider',)",9,27,0.25,0.75,0,3
"('buoying',)",2,19,0.09524,0.90476,0,9
"('temperate',)",1,26,0.03704,0.96296,0,26
"('stemmed',)",5,13,0.27778,0.72222,0,3
"('nominal',)",3,45,0.0625,0.9375,0,15
"('breaking',)",5,13,0.27778,0.72222,0,3
"('fastgrowing',)",4,11,0.26667,0.73333,0,3
"('lessening',)",5,34,0.12821,0.87179,0,7
"('taxfree',)",1,5,0.16667,0.83333,0,5
"('loanscommercial',)",1,4,0.2,0.8,0,4
"('vegetables',)",33,116,0.22148,0.77852,0,4
"('phenomenal',)",1,25,0.03846,0.96154,0,25
"('rush',)",5,28,0.15152,0.84848,0,6
"('drilled',)",4,29,0.12121,0.87879,0,7
"('heating',)",19,123,0.1338,0.8662,0,6
"('therefore',)",5,35,0.125,0.875,0,7
"('mill',)",9,48,0.15789,0.84211,0,5
"('stimulating',)",1,41,0.02381,0.97619,0,41
"('covered',)",2,27,0.06897,0.93103,0,13
"('crew',)",1,21,0.04545,0.95455,0,21
"('understaffed',)",5,20,0.2,0.8,0,4
"('bluecollar',)",5,19,0.20833,0.79167,0,4
"('chargeoffs',)",2,24,0.07692,0.92308,0,12
"('relaxing',)",5,19,0.20833,0.79167,0,4
"('automaker',)",5,15,0.25,0.75,0,3
"('inventorytosales',)",1,12,0.07692,0.92308,0,12
"('ratios',)",4,37,0.09756,0.90244,0,9
"('inched',)",17,46,0.26984,0.73016,0,3
"('instrument',)",1,10,0.09091,0.90909,0,10
"('quickened',)",4,14,0.22222,0.77778,0,4
"('mens',)",2,25,0.07407,0.92593,0,13
"('montanas',)",6,22,0.21429,0.78571,0,4
"('stating',)",5,20,0.2,0.8,0,4
"('prove',)",3,16,0.15789,0.84211,0,5
"('beneficial',)",4,24,0.14286,0.85714,0,6
"('nut',)",4,18,0.18182,0.81818,0,4
"('refer',)",3,15,0.16667,0.83333,0,5
"('enhancing',)",3,19,0.13636,0.86364,0,6
"('upfront',)",1,14,0.06667,0.93333,0,14
"('inhouse',)",3,16,0.15789,0.84211,0,5
"('shipbuilding',)",1,10,0.09091,0.90909,0,10
"('offseason',)",1,10,0.09091,0.90909,0,10
"('vacationers',)",3,21,0.125,0.875,0,7
"('allterrain',)",2,7,0.22222,0.77778,0,4
"('sparse',)",3,12,0.2,0.8,0,4
"('energysector',)",2,21,0.08696,0.91304,0,10
"('barley',)",4,25,0.13793,0.86207,0,6
"('oats',)",1,21,0.04545,0.95455,0,21
"('handling',)",4,19,0.17391,0.82609,0,5
"('perishable',)",2,20,0.09091,0.90909,0,10
"('crisis',)",15,46,0.2459,0.7541,0,3
"('tapping',)",3,16,0.15789,0.84211,0,5
"('relocating',)",3,20,0.13043,0.86957,0,7
"('converting',)",4,18,0.18182,0.81818,0,4
"('isolated',)",8,26,0.23529,0.76471,0,3
"('resorted',)",1,16,0.05882,0.94118,0,16
