NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('and', 'kansas', 'city', 'reported')",15,6,0.71429,0.28571,3,0
"('atlanta', 'and', 'san', 'francisco')",12,3,0.8,0.2,4,0
"('in', 'the', 'san', 'francisco')",9,2,0.81818,0.18182,4,0
"('the', 'san', 'francisco', 'district')",12,4,0.75,0.25,3,0
"('in', 'the', 'kansas', 'city')",18,4,0.81818,0.18182,4,0
"('auto', 'sales', 'were', 'mixed')",6,1,0.85714,0.14286,6,0
"('commercial', 'real', 'estate', 'markets')",11,3,0.78571,0.21429,4,0
"('demand', 'for', 'temporary', 'workers')",6,1,0.85714,0.14286,6,0
"('st', 'louis', 'minneapolis', 'and')",6,1,0.85714,0.14286,6,0
"('minneapolis', 'and', 'san', 'francisco')",9,1,0.9,0.1,9,0
"('the', 'pace', 'of', 'growth')",3,1,0.75,0.25,3,0
"('in', 'a', 'number', 'of')",6,2,0.75,0.25,3,0
"('up', 'on', 'a', 'yearoveryear')",3,1,0.75,0.25,3,0
"('were', 'reported', 'as', 'generally')",3,1,0.75,0.25,3,0
"('residential', 'real', 'estate', 'activity')",6,2,0.75,0.25,3,0
"('minneapolis', 'and', 'kansas', 'city')",3,1,0.75,0.25,3,0
"('retailers', 'expectations', 'for', 'the')",3,1,0.75,0.25,3,0
"('new', 'york', 'philadelphia', 'richmond')",3,1,0.75,0.25,3,0
"('york', 'philadelphia', 'richmond', 'atlanta')",3,1,0.75,0.25,3,0
"('atlanta', 'and', 'kansas', 'city')",3,1,0.75,0.25,3,0
"('sales', 'are', 'expected', 'to')",3,1,0.75,0.25,3,0
"('sales', 'were', 'mixed', 'across')",3,1,0.75,0.25,3,0
"('were', 'mixed', 'across', 'districts')",3,1,0.75,0.25,3,0
"('reported', 'a', 'pickup', 'in')",3,1,0.75,0.25,3,0
"('pickup', 'in', 'sales', 'in')",3,1,0.75,0.25,3,0
"('demand', 'for', 'professional', 'services')",3,1,0.75,0.25,3,0
"('levels', 'of', 'capacity', 'utilization')",3,1,0.75,0.25,3,0
"('were', 'also', 'noted', 'in')",3,1,0.75,0.25,3,0
"('also', 'noted', 'in', 'the')",3,1,0.75,0.25,3,0
"('manufacturers', 'in', 'the', 'boston')",3,1,0.75,0.25,3,0
"('a', 'majority', 'of', 'districts')",3,1,0.75,0.25,3,0
"('estate', 'and', 'construction', 'residential')",6,2,0.75,0.25,3,0
"('and', 'construction', 'residential', 'real')",6,2,0.75,0.25,3,0
"('construction', 'residential', 'real', 'estate')",6,2,0.75,0.25,3,0
"('activity', 'in', 'the', 'new')",3,1,0.75,0.25,3,0
"('atlanta', 'chicago', 'minneapolis', 'and')",3,1,0.75,0.25,3,0
"('chicago', 'minneapolis', 'and', 'san')",6,1,0.85714,0.14286,6,0
"('in', 'office', 'and', 'retail')",3,1,0.75,0.25,3,0
"('louis', 'minneapolis', 'and', 'dallas')",3,1,0.75,0.25,3,0
"('subdued', 'in', 'most', 'districts')",3,1,0.75,0.25,3,0
"('reported', 'little', 'change', 'in')",3,1,0.75,0.25,3,0
"('in', 'the', 'philadelphia', 'chicago')",3,1,0.75,0.25,3,0
"('edged', 'up', 'in', 'the')",3,1,0.75,0.25,3,0
"('the', 'kansas', 'city', 'and')",3,1,0.75,0.25,3,0
"('in', 'most', 'districts', 'and')",3,1,0.75,0.25,3,0
"('richmond', 'atlanta', 'st', 'louis')",3,1,0.75,0.25,3,0
"('st', 'louis', 'and', 'kansas')",3,1,0.75,0.25,3,0
"('louis', 'and', 'kansas', 'city')",3,1,0.75,0.25,3,0
"('in', 'the', 'dallas', 'district')",9,2,0.81818,0.18182,4,0
"('in', 'the', 'energy', 'and')",3,1,0.75,0.25,3,0
"('the', 'energy', 'and', 'mining')",3,1,0.75,0.25,3,0
"('and', 'mining', 'sectors', 'was')",3,1,0.75,0.25,3,0
"('and', 'a', 'pickup', 'in')",3,1,0.75,0.25,3,0
"('wages', 'and', 'prices', 'labor')",3,1,0.75,0.25,3,0
"('for', 'temporary', 'workers', 'was')",3,1,0.75,0.25,3,0
"('sustained', 'increases', 'in', 'orders')",3,1,0.75,0.25,3,0
"('kansas', 'city', 'district', 'but')",3,1,0.75,0.25,3,0
"('the', 'cleveland', 'and', 'atlanta')",3,1,0.75,0.25,3,0
"('cleveland', 'and', 'atlanta', 'districts')",3,1,0.75,0.25,3,0
"('the', 'st', 'louis', 'district')",9,2,0.81818,0.18182,4,0
"('kansas', 'city', 'and', 'san')",6,2,0.75,0.25,3,0
"('city', 'and', 'san', 'francisco')",6,2,0.75,0.25,3,0
"('new', 'york', 'district', 'reported')",6,1,0.85714,0.14286,6,0
"('st', 'louis', 'and', 'dallas')",6,1,0.85714,0.14286,6,0
"('reported', 'that', 'demand', 'for')",6,1,0.85714,0.14286,6,0
"('increased', 'hiring', 'in', 'the')",6,1,0.85714,0.14286,6,0
"('according', 'to', 'reports', 'from')",3,1,0.75,0.25,3,0
"('residential', 'real', 'estate', 'market')",3,1,0.75,0.25,3,0
"('firms', 'ability', 'to', 'pass')",3,1,0.75,0.25,3,0
"('to', 'pass', 'through', 'input')",3,1,0.75,0.25,3,0
"('atlanta', 'minneapolis', 'kansas', 'city')",3,1,0.75,0.25,3,0
"('with', 'a', 'year', 'ago')",3,1,0.75,0.25,3,0
"('a', 'sharp', 'decline', 'in')",3,1,0.75,0.25,3,0
"('noted', 'that', 'recent', 'sales')",3,1,0.75,0.25,3,0
"('that', 'recent', 'sales', 'were')",3,1,0.75,0.25,3,0
"('a', 'lack', 'of', 'new')",3,1,0.75,0.25,3,0
"('other', 'business', 'activity', 'manufacturing')",3,1,0.75,0.25,3,0
